group_name,group_value,trades,wins,losses,flats,win_rate_pct,gross_pnl,avg_pnl,avg_win,avg_loss
overall,all,51,17,34,0,33.33,-17.279,-0.3388,5.1109,-3.0637
mode,core_one,8,3,5,0,37.5,-3.075,-0.3844,1.9367,-1.777
mode,core_two,4,0,4,0,0.0,-7.865,-1.9663,0.0,-1.9663
mode,fourth,9,4,5,0,44.44,6.6006,0.7334,5.7414,-3.273
mode,primary,16,6,10,0,37.5,2.095,0.1309,5.7825,-3.26
mode,secondary,7,2,5,0,28.57,-6.44,-0.92,5.25,-3.388
mode,third,7,2,5,0,28.57,-8.5946,-1.2278,6.4575,-4.3019
symbol,AAPL,2,2,0,0,100.0,3.12,1.56,1.56,0.0
symbol,ACHR,4,1,3,0,25.0,-2.0,-0.5,5.76,-2.5867
symbol,AMD,1,0,1,0,0.0,-1.97,-1.97,0.0,-1.97
symbol,AVGO,3,0,3,0,0.0,-4.265,-1.4217,0.0,-1.4217
symbol,BBAI,1,1,0,0,100.0,3.875,3.875,3.875,0.0
symbol,BITF,1,0,1,0,0.0,-6.475,-6.475,0.0,-6.475
symbol,CLOV,1,0,1,0,0.0,-1.405,-1.405,0.0,-1.405
symbol,GRAB,1,0,1,0,0.0,-4.9,-4.9,0.0,-4.9
symbol,HIMS,2,1,1,0,50.0,1.86,0.93,6.75,-4.89
symbol,IONQ,4,2,2,0,50.0,4.6006,1.1502,5.7953,-3.495
symbol,JOBY,3,1,2,0,33.33,-0.3,-0.1,7.32,-3.81
symbol,MSFT,1,0,1,0,0.0,-1.24,-1.24,0.0,-1.24
symbol,MU,1,0,1,0,0.0,-3.6,-3.6,0.0,-3.6
symbol,NIO,4,2,2,0,50.0,5.025,1.2563,5.2875,-2.775
symbol,NVDA,2,1,1,0,50.0,1.36,0.68,2.69,-1.33
symbol,OPEN,1,0,1,0,0.0,-4.28,-4.28,0.0,-4.28
symbol,PLTR,1,0,1,0,0.0,-2.13,-2.13,0.0,-2.13
symbol,QBTS,5,2,3,0,40.0,2.0,0.4,5.6875,-3.125
symbol,QS,1,1,0,0,100.0,4.74,4.74,4.74,0.0
symbol,RIVN,3,1,2,0,33.33,0.0,0.0,4.29,-2.145
symbol,RKLB,4,1,3,0,25.0,-4.5896,-1.1474,9.04,-4.5432
symbol,SNAP,1,0,1,0,0.0,-4.41,-4.41,0.0,-4.41
symbol,SOFI,3,1,2,0,33.33,-0.08,-0.0267,5.76,-2.92
symbol,TSLA,1,0,1,0,0.0,-2.215,-2.215,0.0,-2.215
side,BUY,2,0,2,0,0.0,-8.01,-4.005,0.0,-4.005
side,SELL,49,17,32,0,34.69,-9.269,-0.1892,5.1109,-3.0048
scan_source,SCHEDULED,51,17,34,0,33.33,-17.279,-0.3388,5.1109,-3.0637
market_phase,AFTERNOON,5,0,5,0,0.0,-19.785,-3.957,0.0,-3.957
market_phase,MIDDAY,18,11,7,0,61.11,37.3506,2.075,5.1855,-2.8129
market_phase,MORNING,25,6,19,0,24.0,-25.4696,-1.0188,4.9742,-2.9113
market_phase,POWER_HOUR,3,0,3,0,0.0,-9.375,-3.125,0.0,-3.125
core_group,core,12,3,9,0,25.0,-10.94,-0.9117,1.9367,-1.8611
core_group,non_core,39,14,25,0,35.9,-6.339,-0.1625,5.7911,-3.4966
