timestamp_utc,scan_id,scan_source,market_phase,scan_execution_time_ms,mode,account_size,timing_ok,source,trade_count,top_name,top_symbol,current_price,entry,stop,target,shares,confidence,reason,benchmark_sp500,benchmark_nasdaq,paper_trade_enabled,paper_trade_candidate_count,paper_trade_long_candidate_count,paper_trade_short_candidate_count,paper_trade_placed_count,paper_trade_placed_long_count,paper_trade_placed_short_count,paper_candidate_symbols,paper_candidate_confidences,paper_skipped_symbols,paper_skip_reasons,paper_placed_symbols,paper_trade_ids
2026-03-27T13:50:03.837886+00:00,2026-03-27T13-50-03.837886+00-00_primary,SCHEDULED,OPENING,4033,primary,1000.0,True,PRIMARY,0,,,,,,,,,No trade today,NEUTRAL,NEUTRAL,True,0,0,0,0,0,0,,,,,,
2026-03-27T14:00:01.569351+00:00,2026-03-27T14-00-01.569351+00-00_secondary,SCHEDULED,MORNING,12525,secondary,1000.0,True,SECONDARY,0,,,,,,,,,No trade today,SELL,SELL,True,6,0,6,3,0,3,"LCID,ACHR,OPEN,QS,PLUG,GRAB","100.0,70.0,99.0,99.0,99.0,99.0","LCID,QS,PLUG",LCID:alpaca_order_rejected|QS:alpaca_order_rejected|PLUG:alpaca_order_rejected,"ACHR,OPEN,GRAB","scanner-ACHR-SELL-51500-97,scanner-OPEN-SELL-46600-107,scanner-GRAB-SELL-35650-140"
2026-03-27T14:10:01.335951+00:00,2026-03-27T14-10-01.335951+00-00_third,SCHEDULED,MORNING,6481,third,1000.0,True,THIRD,0,,,,,,,,,No trade today,SELL,SELL,True,2,0,2,2,0,2,"CLOV,RKLB","93.0,70.0",,,"CLOV,RKLB","scanner-CLOV-SELL-17750-281,scanner-RKLB-SELL-624950-8"
2026-03-27T14:20:00.939825+00:00,2026-03-27T14-20-00.939825+00-00_fourth,SCHEDULED,MORNING,7709,fourth,1000.0,True,FOURTH,0,,,,,,,,,No trade today,NEUTRAL,NEUTRAL,True,3,0,3,3,0,3,"AI,QBTS,IONQ","70.0,70.0,70.0",,,"AI,QBTS,IONQ","scanner-AI-SELL-78150-63,scanner-QBTS-SELL-141200-35,scanner-IONQ-SELL-284900-17"
2026-03-27T14:30:01.503294+00:00,2026-03-27T14-30-01.503294+00-00_core_one,SCHEDULED,MORNING,9144,core_one,1000.0,True,CORE_ONE,0,,,,,,,,,No trade today,SELL,SELL,True,5,0,5,5,0,5,"NVDA,TSLA,AMD,PLTR,MSFT","103.0,94.0,101.0,97.0,93.0",,,"NVDA,TSLA,AMD,PLTR,MSFT","scanner-NVDA-SELL-1679400-2,scanner-TSLA-SELL-3631550-1,scanner-AMD-SELL-1990500-2,scanner-PLTR-SELL-1432500-3,scanner-MSFT-SELL-3584500-1"
2026-03-27T14:40:01.526477+00:00,2026-03-27T14-40-01.526477+00-00_core_two,SCHEDULED,MORNING,6760,core_two,1000.0,True,CORE_TWO,0,,,,,,,,,No trade today,SELL,SELL,True,3,0,3,2,0,2,"META,AMZN,AVGO","100.0,100.0,91.0",META,META:max_notional_too_small_for_symbol,"AMZN,AVGO","scanner-AMZN-SELL-2011200-2,scanner-AVGO-SELL-3027500-1"
2026-03-27T14:50:01.533648+00:00,2026-03-27T14-50-01.533648+00-00_primary,SCHEDULED,MORNING,7942,primary,1000.0,True,PRIMARY,0,,,,,,,,,No trade today,SELL,SELL,True,4,0,4,4,0,4,"SOFI,NIO,HIMS,JOBY","91.0,91.0,99.0,89.0",,,"SOFI,NIO,HIMS,JOBY","scanner-SOFI-SELL-154100-32,scanner-NIO-SELL-54500-91,scanner-HIMS-SELL-198800-25,scanner-JOBY-SELL-82050-60"
2026-03-27T15:00:01.509428+00:00,2026-03-27T15-00-01.509428+00-00_secondary,SCHEDULED,MORNING,10886,secondary,1000.0,True,SECONDARY,0,,,,,,,,,No trade today,NEUTRAL,SELL,True,4,0,4,2,0,2,"LCID,ACHR,QS,GRAB","98.0,98.0,97.0,93.0","LCID,GRAB",LCID:alpaca_order_rejected|GRAB:symbol_already_open,"ACHR,QS","scanner-ACHR-SELL-51850-96,scanner-QS-SELL-63100-79"
2026-03-27T15:10:00.837675+00:00,2026-03-27T15-10-00.837675+00-00_third,SCHEDULED,MORNING,6417,third,1000.0,True,THIRD,0,,,,,,,,,No trade today,NEUTRAL,SELL,True,2,0,2,2,0,2,"RKLB,BBAI","70.0,93.0",,,"RKLB,BBAI","scanner-RKLB-SELL-620300-8,scanner-BBAI-SELL-32250-155"
2026-03-27T15:20:01.726319+00:00,2026-03-27T15-20-01.726319+00-00_fourth,SCHEDULED,MORNING,6059,fourth,1000.0,True,FOURTH,0,,,,,,,,,No trade today,SELL,SELL,True,3,0,3,1,0,1,"AI,QBTS,IONQ","98.0,70.0,70.0","AI,IONQ",AI:symbol_already_open|IONQ:symbol_already_open,QBTS,scanner-QBTS-SELL-140350-35
