id,order_id,symbol,side,order_type,status,qty,filled_qty,avg_fill_price,submitted_at,filled_at,created_at
479,da0128d5-2fe5-4317-be6b-f03efdbdc7a4,NVDA,buy,market,filled,2,2,169.02,2026-03-30 08:01:05.250114+00:00,2026-03-30 13:32:49.620751+00:00,2026-03-28 07:59:21.695528+00:00
482,f6af3684-1ae3-4dfc-a17e-15cd4f94deaf,TSLA,buy,market,filled,1,1,366.22,2026-03-30 08:01:05.208440+00:00,2026-03-30 13:33:33.326600+00:00,2026-03-28 07:59:24.340450+00:00
480,9e3d625f-9656-4ae3-98dc-850bef93af3b,PLTR,buy,market,filled,3,3,143.3,2026-03-30 08:01:05.245158+00:00,2026-03-30 13:33:54.120055+00:00,2026-03-28 07:59:22.584847+00:00
481,645a5c54-1233-4053-8db2-36b2492a0c0e,SOFI,buy,market,filled,32,32,15.388438,2026-03-30 08:01:05.222876+00:00,2026-03-30 13:34:04.469097+00:00,2026-03-28 07:59:23.460850+00:00
486,e2df46e7-ece7-45fb-bef9-61c27f0ade14,AAPL,buy,stop,canceled,1,0,,2026-03-30 19:30:09.268404+00:00,,2026-03-30 20:30:01.609296+00:00
483,872c3eca-d734-4661-93f5-f52635818d03,NVDA,sell,market,filled,1,1,164.57,2026-03-30 19:30:08.233850+00:00,2026-03-30 19:30:09.291636+00:00,2026-03-30 19:30:08.518305+00:00
487,fd5d6267-e1f0-4375-8654-2573e51a88c1,NVDA,buy,limit,canceled,1,0,,2026-03-30 19:30:09.322038+00:00,,2026-03-30 20:30:01.683668+00:00
484,ad1dd4f8-fe7d-4abc-b23f-ec51605e4e9b,AAPL,sell,market,filled,1,1,245.98,2026-03-30 19:30:09.280339+00:00,2026-03-30 19:30:09.799025+00:00,2026-03-30 19:30:09.579684+00:00
485,e55b349a-25fa-4eb7-908a-339b9f25803f,AAPL,buy,limit,expired,1,0,,2026-03-30 19:30:09.812096+00:00,,2026-03-30 20:30:01.568109+00:00
488,92229a9f-3aea-4a8a-82a7-a3f4d203414d,NVDA,buy,stop,filled,1,1,165.42,2026-03-30 19:55:13.010645+00:00,2026-03-30 19:55:14.557544+00:00,2026-03-30 20:30:01.720029+00:00
