id,trade_key,symbol,mode,side,direction,status,entry_time,exit_time,duration_minutes,shares,entry_price,exit_price,stop_price,target_price,exit_reason,signal_timestamp,signal_entry,signal_stop,signal_target,signal_confidence,order_id,parent_order_id,exit_order_id,realized_pnl,realized_pnl_percent,created_at,updated_at
94,4673e955-0301-43b6-ae51-d39d17f2e4df,PLUG,secondary,BUY,LONG,CLOSED,2026-04-02 14:05:06.036311+00:00,2026-04-02 14:35:02.852956+00:00,29.95,4347,2.3,2.36,2.272,2.356,TARGET_HIT,2026-04-02 14:05:06.036311+00:00,2.3,2.272,2.356,99,4673e955-0301-43b6-ae51-d39d17f2e4df,4673e955-0301-43b6-ae51-d39d17f2e4df,8842403a-2c49-474a-91c4-54e154c3143a,260.82,2.608696,2026-04-02 14:05:19.540717+00:00,2026-04-02 14:35:03.635420+00:00
100,d2b50855-7515-46f4-9d31-35031900c72d,ADBE,core_three,BUY,LONG,CLOSED,2026-04-02 15:15:07.048534+00:00,2026-04-02 15:25:02.799453+00:00,9.93,41,242.57,241.21,241.1175,245.475,STOP_HIT,2026-04-02 15:15:07.048534+00:00,242.57,241.1175,245.475,89,d2b50855-7515-46f4-9d31-35031900c72d,d2b50855-7515-46f4-9d31-35031900c72d,296e9a14-8500-4e4a-8861-28106810b453,-55.76,-0.560663,2026-04-02 15:15:12.665914+00:00,2026-04-02 15:25:03.578043+00:00
102,1b088880-01f8-493d-8bce-c8764d6e236f,GRAB,secondary,BUY,LONG,CLOSED,2026-04-02 15:35:08.267920+00:00,2026-04-02 15:45:02.928064+00:00,9.91,2735,3.655,3.64,3.63925,3.6865,STOP_HIT,2026-04-02 15:35:08.267920+00:00,3.655,3.63925,3.6865,93,1b088880-01f8-493d-8bce-c8764d6e236f,1b088880-01f8-493d-8bce-c8764d6e236f,8c292df8-9d40-4dcf-ac46-612d7211f802,-41.025,-0.410397,2026-04-02 15:35:15.242841+00:00,2026-04-02 15:45:04.218949+00:00
97,1a9b744d-15d2-4654-a8f7-8c2a938a9443,MSFT,core_one,BUY,LONG,CLOSED,2026-04-02 14:55:10.111505+00:00,2026-04-02 15:45:06.765297+00:00,49.94,27,368.96,371.2304,367.8295,371.221,TARGET_HIT,2026-04-02 14:55:10.111505+00:00,368.96,367.8295,371.221,95,1a9b744d-15d2-4654-a8f7-8c2a938a9443,1a9b744d-15d2-4654-a8f7-8c2a938a9443,644d693d-dd00-4dbd-b738-288f306e8111,61.3008,0.615351,2026-04-02 14:55:20.428854+00:00,2026-04-02 15:45:07.548467+00:00
104,82b0c6bf-f660-4497-811d-5d095f095d34,WULF,sixth,BUY,LONG,CLOSED,2026-04-02 16:15:09.263897+00:00,2026-04-02 18:55:04.049450+00:00,159.91,693,14.42,14.75,14.2555,14.749,TARGET_HIT,2026-04-02 16:15:09.263897+00:00,14.42,14.2555,14.749,89,82b0c6bf-f660-4497-811d-5d095f095d34,82b0c6bf-f660-4497-811d-5d095f095d34,65d833f5-275f-4d23-9d01-c3654cf317ac,228.69,2.288488,2026-04-02 16:15:15.430388+00:00,2026-04-02 18:55:04.876405+00:00
95,4e035a5c-e149-4517-b31c-ca3f345d0618,NVDA,core_one,BUY,LONG,CLOSED,2026-04-02 14:55:10.111505+00:00,2026-04-02 19:15:07.875576+00:00,259.96,56,175.695,177.33,174.876,177.333,TARGET_HIT,2026-04-02 14:55:10.111505+00:00,175.695,174.876,177.333,101,4e035a5c-e149-4517-b31c-ca3f345d0618,4e035a5c-e149-4517-b31c-ca3f345d0618,f52fd6ab-efab-4b61-881a-11b16dc65f50,91.56,0.93059,2026-04-02 14:55:16.800115+00:00,2026-04-02 19:15:08.648717+00:00
105,8e7980a4-479a-4d6a-bb78-38586a8f2719,MSFT,core_one,BUY,LONG,CLOSED,2026-04-02 16:25:08.787603+00:00,2026-04-02 19:25:03.497383+00:00,179.91,26,369.86,372.21,368.7295,372.121,TARGET_HIT,2026-04-02 16:25:08.787603+00:00,369.86,368.7295,372.121,90,8e7980a4-479a-4d6a-bb78-38586a8f2719,8e7980a4-479a-4d6a-bb78-38586a8f2719,368c438f-d8ec-41f5-aa52-ca3b43774fb5,61.1,0.635376,2026-04-02 16:25:16.595312+00:00,2026-04-02 19:25:04.259463+00:00
101,bd850cab-2d14-468e-9008-2725fbdaaf3a,RIVN,primary,BUY,LONG,CLOSED,2026-04-02 15:25:08.738619+00:00,2026-04-02 19:25:05.329151+00:00,239.94,658,15.195,15.44,15.0725,15.44,TARGET_HIT,2026-04-02 15:25:08.738619+00:00,15.195,15.0725,15.44,101,bd850cab-2d14-468e-9008-2725fbdaaf3a,bd850cab-2d14-468e-9008-2725fbdaaf3a,cb095777-0454-4df7-b6b7-6edfba0b67c9,161.21,1.612372,2026-04-02 15:25:15.570325+00:00,2026-04-02 19:25:06.128251+00:00
107,33572642-0cf0-4d8b-b5a9-10d1d16aff4a,AAPL,core_one,BUY,LONG,CLOSED,2026-04-02 19:25:10.053060+00:00,2026-04-02 20:30:17.988000+00:00,65.13,39,255.35,255.8777,253.901,258.248,EXTERNAL_EXIT,2026-04-02 19:25:10.053060+00:00,255.35,253.901,258.248,80,33572642-0cf0-4d8b-b5a9-10d1d16aff4a,33572642-0cf0-4d8b-b5a9-10d1d16aff4a,d1526b1c-782b-4c4d-a15c-b48e33ed74a2,20.5803,0.206658,2026-04-02 19:25:18.395767+00:00,2026-04-02 20:30:18.778929+00:00
106,61d71130-0e72-40a3-8163-784c7f392123,NIO,primary,BUY,LONG,CLOSED,2026-04-02 18:25:10.205449+00:00,2026-04-02 20:30:19.597783+00:00,125.16,1609,6.215,6.27,6.1555,6.334,EXTERNAL_EXIT,2026-04-02 18:25:10.205449+00:00,6.215,6.1555,6.334,85,61d71130-0e72-40a3-8163-784c7f392123,61d71130-0e72-40a3-8163-784c7f392123,20b8810d-798d-463e-9657-2b69c44e493a,88.495,0.884956,2026-04-02 18:25:21.102174+00:00,2026-04-02 20:30:20.406802+00:00
103,b97391a0-1309-4f13-8980-da7c8c203464,HOOD,fifth,BUY,LONG,CLOSED,2026-04-02 16:05:08.237648+00:00,2026-04-02 20:30:21.227655+00:00,265.22,144,68.99,68.85,68.1745,70.621,EXTERNAL_EXIT,2026-04-02 16:05:08.237648+00:00,68.99,68.1745,70.621,91,b97391a0-1309-4f13-8980-da7c8c203464,b97391a0-1309-4f13-8980-da7c8c203464,508cddc3-a175-4955-b5d0-1d61eb7066aa,-20.16,-0.202928,2026-04-02 16:05:14.286229+00:00,2026-04-02 20:30:22.020490+00:00
99,88bd4db5-f223-46c2-aac4-cc62aa20d042,AVGO,core_two,BUY,LONG,CLOSED,2026-04-02 15:05:05.890596+00:00,2026-04-02 20:30:22.830531+00:00,325.28,32,312.05,314.4375,309.88525,316.3795,EXTERNAL_EXIT,2026-04-02 15:05:05.890596+00:00,312.05,309.88525,316.3795,99,88bd4db5-f223-46c2-aac4-cc62aa20d042,88bd4db5-f223-46c2-aac4-cc62aa20d042,77ae48f3-a68f-4bb9-8f74-9b7d580fdebf,76.4,0.765102,2026-04-02 15:05:15.574003+00:00,2026-04-02 20:30:23.600481+00:00
98,36852139-ddfb-49f4-bee2-b703fd52ff3a,NFLX,core_two,BUY,LONG,CLOSED,2026-04-02 15:05:05.890596+00:00,2026-04-02 20:30:24.064603+00:00,325.3,102,97.36,98.3803,96.8665,98.347,TARGET_HIT,2026-04-02 15:05:05.890596+00:00,97.36,96.8665,98.347,99,36852139-ddfb-49f4-bee2-b703fd52ff3a,36852139-ddfb-49f4-bee2-b703fd52ff3a,8a91394e-fcc4-499b-95ee-8316f87203cb,104.0706,1.047966,2026-04-02 15:05:13.715566+00:00,2026-04-02 20:30:24.819401+00:00
