timestamp_utc,scan_id,scan_source,market_phase,mode,core_group,paper_trade_enabled,candidate_count,placed_count,skipped_count,long_candidate_count,short_candidate_count,placed_long_count,placed_short_count,placement_rate_pct,candidate_symbols,placed_symbols,skipped_symbols,skip_reasons,confidence_values,benchmark_sp500,benchmark_nasdaq,reason
2026-03-31 14:02:08.258741+00:00,2026-03-31T14-02-08.258741+00-00_secondary,SCHEDULED,MORNING,secondary,non_core,True,1,1,0,1,0,1,0,100.0,LCID,LCID,,,92.0,,,Price is above OR high and above VWAP.
2026-03-31 14:03:36.674322+00:00,2026-03-31T14-03-36.674322+00-00_secondary,SCHEDULED,MORNING,secondary,non_core,True,1,1,0,1,0,1,0,100.0,QS,QS,,,90.0,,,Price is above OR high and above VWAP.
2026-03-31 14:10:02.927632+00:00,2026-03-31T14-10-02.927632+00-00_third,SCHEDULED,MORNING,third,non_core,True,2,2,0,2,0,2,0,100.0,"TAL,BBAI","TAL,BBAI",,,"99.0,98.0",,,Price is above OR high and above VWAP.
2026-03-31 14:20:02.842833+00:00,2026-03-31T14-20-02.842833+00-00_fourth,SCHEDULED,MORNING,fourth,non_core,True,5,2,3,5,0,2,0,40.0,"SOUN,AI,IONQ,NU,TEM","AI,NU","SOUN,IONQ,TEM",SOUN:alpaca_order_rejected|IONQ:alpaca_order_rejected|TEM:alpaca_order_rejected,"100.0,95.0,100.0,99.0,94.0",,,Price is above OR high and above VWAP.
2026-03-31 14:30:02.342816+00:00,2026-03-31T14-30-02.342816+00-00_core_one,SCHEDULED,MORNING,core_one,core,True,3,1,2,3,0,1,0,33.33,"NVDA,AMD,PLTR",AMD,"NVDA,PLTR",NVDA:position_size_too_small_after_slot_compression|PLTR:position_size_too_small_after_slot_compression,"100.0,99.0,90.0",,,Price is above OR high and above VWAP.
2026-03-31 14:40:02.329029+00:00,2026-03-31T14-40-02.329029+00-00_core_two,SCHEDULED,MORNING,core_two,core,True,3,3,0,3,0,3,0,100.0,"GOOGL,AVGO,MU","GOOGL,AVGO,MU",,,"98.0,99.0,99.0",,,Price is above OR high and above VWAP.
2026-03-31 14:50:03.066027+00:00,2026-03-31T14-50-03.066027+00-00_primary,SCHEDULED,MORNING,primary,non_core,True,3,0,3,3,0,0,0,0.0,"RIVN,NIO,HIMS",,"RIVN,NIO,HIMS",RIVN:position_size_too_small_after_slot_compression|NIO:position_size_too_small_after_slot_compression|HIMS:position_size_too_small_after_slot_compression,"100.0,80.0,80.0",,,No trade today
2026-03-31 15:00:02.873780+00:00,2026-03-31T15-00-02.873780+00-00_secondary,SCHEDULED,MORNING,secondary,non_core,True,0,0,0,0,0,0,0,0.0,,,,,,,,No trade today
2026-03-31 15:10:02.230778+00:00,2026-03-31T15-10-02.230778+00-00_third,SCHEDULED,MORNING,third,non_core,True,2,0,2,2,0,0,0,0.0,"TAL,BBAI",,"TAL,BBAI",TAL:stop_cooldown_until_2026-03-31T15:25:04.723702+00:00|BBAI:stop_cooldown_until_2026-03-31T15:30:07.705221+00:00,"97.0,97.0",,,Price is above OR high and above VWAP.
2026-03-31 15:20:02.873678+00:00,2026-03-31T15-20-02.873678+00-00_fourth,SCHEDULED,MORNING,fourth,non_core,True,3,1,2,3,0,1,0,33.33,"SOUN,AI,NU",NU,"SOUN,AI",SOUN:position_size_too_small_after_slot_compression|AI:position_size_too_small_after_slot_compression,"70.0,70.0,97.0",,,Price is above OR high and above VWAP.
2026-03-31 15:30:02.925242+00:00,2026-03-31T15-30-02.925242+00-00_core_one,SCHEDULED,MORNING,core_one,core,True,2,0,2,2,0,0,0,0.0,"NVDA,PLTR",,"NVDA,PLTR",NVDA:position_size_too_small_after_slot_compression|PLTR:position_size_too_small_after_slot_compression,"100.0,90.0",,,No trade today
2026-03-31 15:40:02.966208+00:00,2026-03-31T15-40-02.966208+00-00_core_two,SCHEDULED,MORNING,core_two,core,True,4,0,4,4,0,0,0,0.0,"META,GOOGL,NFLX,AVGO",,"META,GOOGL,NFLX,AVGO",META:position_size_too_small_after_slot_compression|GOOGL:position_size_too_small_after_slot_compression|NFLX:position_size_too_small_after_slot_compression|AVGO:position_size_too_small_after_slot_compression,"90.0,90.0,80.0,80.0",,,No trade today
2026-03-31 15:50:03.015933+00:00,2026-03-31T15-50-03.015933+00-00_primary,SCHEDULED,MORNING,primary,non_core,True,5,0,5,4,1,0,0,0.0,"RIVN,SNAP,NIO,HIMS,JOBY",,"RIVN,SNAP,NIO,HIMS,JOBY",RIVN:position_size_too_small_after_slot_compression|SNAP:position_size_too_small_after_slot_compression|NIO:position_size_too_small_after_slot_compression|HIMS:position_size_too_small_after_slot_compression|JOBY:position_size_too_small_after_slot_compression,"100.0,80.0,80.0,80.0,80.0",,,No trade today
2026-03-31 16:00:03.035400+00:00,2026-03-31T16-00-03.035400+00-00_secondary,SCHEDULED,MIDDAY,secondary,non_core,True,0,0,0,0,0,0,0,0.0,,,,,,,,No trade today
2026-03-31 16:10:02.743576+00:00,2026-03-31T16-10-02.743576+00-00_third,SCHEDULED,MIDDAY,third,non_core,True,0,0,0,0,0,0,0,0.0,,,,,,,,No trade today
2026-03-31 16:20:02.972525+00:00,2026-03-31T16-20-02.972525+00-00_fourth,SCHEDULED,MIDDAY,fourth,non_core,True,2,0,2,2,0,0,0,0.0,"SOUN,AI",,"SOUN,AI",SOUN:position_size_too_small_after_slot_compression|AI:position_size_too_small_after_slot_compression,"70.0,70.0",,,No trade today
2026-03-31 16:30:03.001408+00:00,2026-03-31T16-30-03.001408+00-00_core_one,SCHEDULED,MIDDAY,core_one,core,True,3,1,2,3,0,1,0,33.33,"NVDA,AAPL,PLTR",AAPL,"NVDA,PLTR",NVDA:position_size_too_small_after_slot_compression|PLTR:position_size_too_small_after_slot_compression,"100.0,89.0,90.0",,,Price is above OR high and above VWAP.
2026-03-31 16:40:03.085194+00:00,2026-03-31T16-40-03.085194+00-00_core_two,SCHEDULED,MIDDAY,core_two,core,True,4,0,4,4,0,0,0,0.0,"META,GOOGL,NFLX,AVGO",,"META,GOOGL,NFLX,AVGO",META:position_size_too_small_after_slot_compression|GOOGL:position_size_too_small_after_slot_compression|NFLX:position_size_too_small_after_slot_compression|AVGO:position_size_too_small_after_slot_compression,"90.0,90.0,80.0,80.0",,,No trade today
