id,order_id,symbol,side,order_type,status,qty,filled_qty,avg_fill_price,submitted_at,filled_at,created_at,broker
741,f7de4ca9-b548-4cd2-84d6-23fde2d14675,RKLB,sell,market,filled,148,148,67.338243,2026-04-09 14:15:11.762480+00:00,2026-04-09 14:15:14.196991+00:00,2026-04-09 14:15:12.433412+00:00,ALPACA
846,cb99901a-e899-4a6e-bb31-b7052c2a3a5c,RKLB,buy,limit,canceled,148,0,,2026-04-09 14:15:14.209240+00:00,,2026-04-09 20:31:12.621735+00:00,
742,1eff581e-5818-4b9b-b510-005d04b6d360,BBAI,sell,market,filled,2976,2976,3.35,2026-04-09 14:15:13.704973+00:00,2026-04-09 14:15:14.822980+00:00,2026-04-09 14:15:14.295734+00:00,ALPACA
845,ac77ccee-de19-42b6-9c9a-e19cf6419e6f,BBAI,buy,limit,canceled,2976,0,,2026-04-09 14:15:14.833027+00:00,,2026-04-09 20:31:11.585607+00:00,
743,9e52d3e9-aec6-4665-a91d-afc0af413f59,AI,sell,market,filled,1186,1186,8.42,2026-04-09 14:25:11.621902+00:00,2026-04-09 14:25:12.381579+00:00,2026-04-09 14:25:12.258966+00:00,ALPACA
844,99248918-e16e-4ca2-acd5-f25ab8f3434d,AI,buy,limit,canceled,1186,0,,2026-04-09 14:25:12.389850+00:00,,2026-04-09 20:31:10.526501+00:00,
744,b1dd432f-667b-4b3e-8617-e88e62c083d3,QBTS,sell,market,filled,718,718,13.888886,2026-04-09 14:25:13.420689+00:00,2026-04-09 14:25:16.932752+00:00,2026-04-09 14:25:14.064356+00:00,ALPACA
843,a17bacbf-4cd9-4aa8-ad25-fbbfe7681985,QBTS,buy,limit,canceled,718,0,,2026-04-09 14:25:16.943273+00:00,,2026-04-09 20:31:09.478952+00:00,
745,1118b90d-0c22-4bfe-902a-9af3398ce18c,IONQ,sell,market,filled,356,356,28.044916,2026-04-09 14:25:15.246604+00:00,2026-04-09 14:25:17.620417+00:00,2026-04-09 14:25:15.872698+00:00,ALPACA
842,4ac282dd-5898-4551-b404-5ab19cf772e2,IONQ,buy,limit,canceled,356,0,,2026-04-09 14:25:17.642422+00:00,,2026-04-09 20:31:08.447880+00:00,
