id,event_time,event_type,symbol,side,shares,price,mode,order_id,parent_order_id,status,created_at,broker
293,2026-04-09 14:15:04.085195+00:00,OPEN,RKLB,SELL,148,67.27,third,f7de4ca9-b548-4cd2-84d6-23fde2d14675,f7de4ca9-b548-4cd2-84d6-23fde2d14675,OPEN,2026-04-09 14:15:12.157121+00:00,ALPACA
294,2026-04-09 14:15:04.085195+00:00,OPEN,BBAI,SELL,2976,3.36,third,1eff581e-5818-4b9b-b510-005d04b6d360,1eff581e-5818-4b9b-b510-005d04b6d360,OPEN,2026-04-09 14:15:14.038427+00:00,ALPACA
295,2026-04-09 14:25:04.606579+00:00,OPEN,AI,SELL,1186,8.43,fourth,9e52d3e9-aec6-4665-a91d-afc0af413f59,9e52d3e9-aec6-4665-a91d-afc0af413f59,OPEN,2026-04-09 14:25:11.993910+00:00,ALPACA
296,2026-04-09 14:25:04.606579+00:00,OPEN,QBTS,SELL,718,13.915,fourth,b1dd432f-667b-4b3e-8617-e88e62c083d3,b1dd432f-667b-4b3e-8617-e88e62c083d3,OPEN,2026-04-09 14:25:13.804833+00:00,ALPACA
297,2026-04-09 14:25:04.606579+00:00,OPEN,IONQ,SELL,356,28.03,fourth,1118b90d-0c22-4bfe-902a-9af3398ce18c,1118b90d-0c22-4bfe-902a-9af3398ce18c,OPEN,2026-04-09 14:25:15.623373+00:00,ALPACA
298,2026-04-09 14:25:04.606579+00:00,OPEN,NU,SELL,692,14.435,fourth,32171859-4ce8-4fc0-996f-5e1e8958dd02,32171859-4ce8-4fc0-996f-5e1e8958dd02,OPEN,2026-04-09 14:25:17.429106+00:00,ALPACA
299,2026-04-09 14:25:04.606579+00:00,OPEN,TEM,SELL,220,45.25,fourth,ce138590-a5c6-4d40-a785-e1e0b01a3cba,ce138590-a5c6-4d40-a785-e1e0b01a3cba,OPEN,2026-04-09 14:25:19.221912+00:00,ALPACA
300,2026-04-09 14:25:20.717167+00:00,OPEN,NIO,SELL,1612,6.2,primary,10,10,OPEN,2026-04-09 14:25:28.072180+00:00,IBKR
301,2026-04-09 14:35:08.630214+00:00,OPEN,AFRM,SELL,209,47.68,fifth,453e2517-0f03-4d97-ad42-c121ac966c2e,453e2517-0f03-4d97-ad42-c121ac966c2e,OPEN,2026-04-09 14:35:19.142671+00:00,ALPACA
302,2026-04-09 14:35:08.630214+00:00,OPEN,HOOD,SELL,145,68.86,fifth,94c6dc10-9477-44b7-9a73-afa74be2150e,94c6dc10-9477-44b7-9a73-afa74be2150e,OPEN,2026-04-09 14:35:20.957806+00:00,ALPACA
303,2026-04-09 14:35:08.630214+00:00,OPEN,PTON,SELL,1876,4.59,fifth,df400793-a80b-413f-b79b-1be3f9788280,df400793-a80b-413f-b79b-1be3f9788280,OPEN,2026-04-09 14:35:22.746117+00:00,ALPACA
304,2026-04-09 14:45:03.379633+00:00,STOP_HIT,HOOD,SELL,145,69.61,,8f2c3945-5b65-4179-b0ce-15fc321305f6,94c6dc10-9477-44b7-9a73-afa74be2150e,CLOSED,2026-04-09 14:45:03.603893+00:00,ALPACA
305,2026-04-09 14:45:06.248603+00:00,STOP_HIT,NU,SELL,692,14.49,,2f6dfd52-e430-4abe-ab77-61ab91b6a764,32171859-4ce8-4fc0-996f-5e1e8958dd02,CLOSED,2026-04-09 14:45:06.454394+00:00,ALPACA
306,2026-04-09 14:45:07.445322+00:00,STOP_HIT,IONQ,SELL,356,28.28,,2865130b-7bcd-43a8-9f91-1c609af6aeaf,1118b90d-0c22-4bfe-902a-9af3398ce18c,CLOSED,2026-04-09 14:45:07.659201+00:00,ALPACA
307,2026-04-09 14:45:08.650088+00:00,STOP_HIT,QBTS,SELL,718,14.05,,be380fa2-08da-4ace-8118-320b9e5016c5,b1dd432f-667b-4b3e-8617-e88e62c083d3,CLOSED,2026-04-09 14:45:08.870373+00:00,ALPACA
308,2026-04-09 14:55:07.164784+00:00,STOP_HIT,RKLB,SELL,148,67.9,,272cf149-b7f4-46fe-a687-af32c7f9df3e,f7de4ca9-b548-4cd2-84d6-23fde2d14675,CLOSED,2026-04-09 14:55:07.382353+00:00,ALPACA
309,2026-04-09 15:05:02.737551+00:00,STOP_HIT,PTON,SELL,1876,4.64,,1ac03f28-6f1b-4a47-a583-68451eaa1456,df400793-a80b-413f-b79b-1be3f9788280,CLOSED,2026-04-09 15:05:02.960450+00:00,ALPACA
310,2026-04-09 15:25:03.680908+00:00,STOP_HIT,AI,SELL,1186,8.49,,d8a7efe6-2946-424f-8f3f-5b119e47f021,9e52d3e9-aec6-4665-a91d-afc0af413f59,CLOSED,2026-04-09 15:25:03.924409+00:00,ALPACA
311,2026-04-09 15:35:02.762183+00:00,STOP_HIT,AFRM,SELL,209,48.32,,4853d362-c543-4b5b-b58e-b03600c0d36b,453e2517-0f03-4d97-ad42-c121ac966c2e,CLOSED,2026-04-09 15:35:03.006682+00:00,ALPACA
312,2026-04-09 15:45:03.208756+00:00,STOP_HIT,TEM,SELL,220,45.7,,6db29348-5ca7-4bf7-98d8-6be65a4abdee,ce138590-a5c6-4d40-a785-e1e0b01a3cba,CLOSED,2026-04-09 15:45:03.423444+00:00,ALPACA
313,2026-04-09 15:55:05.384237+00:00,OPEN,NU,BUY,677,14.765,fourth,6951d2d0-7c53-4828-8613-0e0f35542aa2,6951d2d0-7c53-4828-8613-0e0f35542aa2,OPEN,2026-04-09 15:55:11.572155+00:00,ALPACA
314,2026-04-09 16:05:04.934527+00:00,STOP_HIT,BBAI,SELL,2976,3.4,,15a1ab2d-4000-49de-86e0-c14a6adb68d6,1eff581e-5818-4b9b-b510-005d04b6d360,CLOSED,2026-04-09 16:05:05.154984+00:00,ALPACA
315,2026-04-09 16:05:07.282238+00:00,OPEN,HOOD,BUY,138,72.41,fifth,74d7ffa5-c8be-4bc3-8a7f-f21e57aaf781,74d7ffa5-c8be-4bc3-8a7f-f21e57aaf781,OPEN,2026-04-09 16:05:13.057717+00:00,ALPACA
316,2026-04-09 16:05:07.282238+00:00,OPEN,PTON,BUY,2100,4.76,fifth,c263df87-c72f-48df-afcb-b150bc5c5047,c263df87-c72f-48df-afcb-b150bc5c5047,OPEN,2026-04-09 16:05:14.836386+00:00,ALPACA
317,2026-04-09 16:05:07.282238+00:00,OPEN,FUBO,BUY,804,12.425,fifth,e9c3a745-cb6d-4761-abf7-a1a88e83c66e,e9c3a745-cb6d-4761-abf7-a1a88e83c66e,OPEN,2026-04-09 16:05:19.141328+00:00,ALPACA
318,2026-04-09 16:15:04.162366+00:00,STOP_HIT,PTON,BUY,2100,4.72,,a3cb5b72-d248-4428-9892-e6827411f94e,c263df87-c72f-48df-afcb-b150bc5c5047,CLOSED,2026-04-09 16:15:04.391345+00:00,ALPACA
319,2026-04-09 16:15:08.137985+00:00,OPEN,MARA,BUY,1017,9.825,sixth,37c1a4fc-a2df-46ed-afbc-aa0d422113af,37c1a4fc-a2df-46ed-afbc-aa0d422113af,OPEN,2026-04-09 16:15:12.758810+00:00,ALPACA
320,2026-04-09 16:15:08.137985+00:00,OPEN,WULF,BUY,520,19.21,sixth,ba7fd5da-6896-4d03-bb92-61c590ea6e05,ba7fd5da-6896-4d03-bb92-61c590ea6e05,OPEN,2026-04-09 16:15:19.705451+00:00,ALPACA
321,2026-04-09 16:25:07.518894+00:00,OPEN,NVDA,BUY,54,183.235,core_one,8f8e000e-0bdb-43d8-9878-9b1e977aef51,8f8e000e-0bdb-43d8-9878-9b1e977aef51,OPEN,2026-04-09 16:25:14.779736+00:00,ALPACA
322,2026-04-09 16:25:07.518894+00:00,OPEN,TSLA,BUY,28,347.7,core_one,8057a682-6445-4818-92ac-c3820a64c73f,8057a682-6445-4818-92ac-c3820a64c73f,OPEN,2026-04-09 16:25:16.607418+00:00,ALPACA
323,2026-04-09 16:25:07.518894+00:00,OPEN,AMD,BUY,27,235.67,core_one,2f69285e-78e8-452c-bfa9-309886b27b1c,2f69285e-78e8-452c-bfa9-309886b27b1c,OPEN,2026-04-09 16:25:18.381552+00:00,ALPACA
